Distributor Product#1 Product#2 Product#3 Product4
1 20 30 50 100
2 10 50 60 80
3 120 30 150 0
4 200 60 400 150
5 25 45 150 100
6 90 65 20 40
7 10 130 15 30
8 125 160 20 50
9 20 50 80 100
10 100 25 10 130
11 10 30 70 60
12 30 160 40 150
13 25 45 150 100
14 50 75 25 400
15 150 10 125 300
16 25 10 20 500
17 200 30 50 80
18 10 500 160 60
19 50 130 150 80
20 200 60 400 150
21 125 145 10 10
22 50 65 30 40
23 10 30 150 300
24 25 60 20 50
25 120 500 0 10
26 0 125 100 200
27 100 0 80 60
28 50 20 0 150
29 125 145 50 10
30 50 175 0 100
31 20 100 125 0
32 125 100 120 200
